&time(secs)   dist(mm)
0.0 	     4.764
1.0 	    17.945
2.0         25.719
3.0 	    29.865
4.0 	    35.722
5.0 	    40.800
6.0 	    46.502
7.0 1	    52.535
8.0 	    57.136
9.0 	    62.244
10.0     	66.991
11.0   	    71.431
12.0        74.913
13.0    	79.065
14.0        82.914
15.0    	87.665
16.0     	91.083
17.0	    95.461
18.0	   100.626
19.0       105.657
20.0       111.592
21.05      117.133
