&time(secs)  dist(mm) d_abs
0.0       	6.294     0
10.0       13.984    7.69
20.0       18.881    12.587
30.0       26.791    20.497
40.0       32.146    25.852
50.0       37.742    31.448
60.0       44.978    38.684
70.0       50.590    44.296
80.0       58.079    51.785
90.0       64.766    58.472
100.0      71.524    65.23
110.0      78.036    71.742
120.0      85.257    78.963
130.0      92.265    85.971
140.0      99.956    93.662
150.0     106.487    100.193
160.0     113.525    107.231
170.0     123.310    117.016
180.0     133.989    127.695
