&time(secs)  dist(mm) d_abs
0.0      	10.242    0
1.0         34.190  23.948
2.0         51.392  41.15
3.0      	63.493  53.251
4.0      	79.760  69.518
5.0      	93.249  83.007
6.0        106.507  96.265
7.0        116.267  106.025
8.0        131.847  121.605
