&phig/L  h_par(mm) error    vol parts
2.15      68.0    2.04        0.82118719
3.15     100.0    3        1.20762822
3.9      120.0    3.6        1.449153864
5.05     150.0    4.5        1.81144233       
5.20     160.0    4.8        1.932205152
5.4      163.0    4.89        1.968433999
5.65     164.0    4.92        1.980510281
6.05     165.0    4.95        1.992586563
6.5      165.0    4.95        1.992586563
6.9      165.0    4.95        1.992586563
7.4      165.0    4.95        1.992586563 
        









                                                     

 
 
 
  
  
  
                                                 
  
 
 
 
 
 
 
 
 
 
 
 
 
 
   
   
   
                                        
  
  
  
  
  
  
 
 
 
 
  
  
  
 
 
 
 
  
  
  
  
  
  
  
  
  
  
  

 
 
 
 
 
 
 
 
 
 
 
 
 
  
  
  
  
  
 












































