&time(secs)  dist(mm)        error
0.0     0                    0
1.0  	  10.504               0.5252
2.0  	  19.773               0.98865
3.0  	  26.929               1.34645
4.0  	  36.192               1.8096
5.0  	  41.4                 2.07
6.0  	  51.919               2.59595
7.0       57.789               2.88945
8.0  	  65.275               3.26375
9.0   	  73.374               3.6687
10.0 	  80.651               4.03255
11.0 	  89.95                4.4975
