&time(secs)  dist(mm) error
 0.0        0          0               
30.0        3.722      0.1861          
60.0        9.915      0.49575         
90.0        13.007     0.65035         
120.0       16.38      0.819           
150.0       21.628     1.0814          
180.0       25.617     1.28085                              
210.0       30.565     1.52825         
240.0       35.184     1.7592          
270.0       38.571     1.92855         
300.0    	42.864     2.1432          
330.0    	48.725     2.43625         
360.0    	51.468     2.5734          
390.0    	56.427     2.82135         
420.0       60.096     3.0048          
450.0    	65.328     3.2664          
480.0    	70.585     3.52925         
510.0    	75.484     3.7742          
540.0    	81.067     4.05335         
570.0    	86.561     4.32805         
600.0    	93.663     4.68315             
630.0       97.684     4.8842                                
660.0       105.026    5.2513                                
690.0       111.192    5.5596          
720.0       114.61     5.7305          
750.0       120.143    6.00715         
780.0       120.172    6.0086          
810.0       125.621    6.28105         
840.0       124.174    6.2087          
870.0       127.136    6.3568          
900.0       126.635    6.33175         
930.0       130.496    6.5248
