&time(secs)  dist(mm) error
0.0    	    0         0
60.0       	3.58      0.179
120.0      	7.763     0.38815
180.0      	9.868     0.4934
240.0      	14.944    0.7472
300.0      	16.372    0.8186
360.0       21.791    1.08955
420.0      	25.669    1.28345
480.0       24.469    1.22345
540.0      	30.088    1.5044
600.0      	33.093    1.65465
660.0      	35.235    1.76175
720.0      	36.415    1.82075
780.0      	41.05     2.0525
840.0       41.798    2.0899
900.0       44.784    2.2392
960.0       46.821    2.34105
1020.0    	52.242    2.6121
1080.0    	52.796    2.6398
1140.0      56.708    2.8354
1200.0      58.2      2.91
1260.0      63.58     3.179
1320.0      65.615    3.28075
1380.0      70.431    3.52155
1440.0    	71.338    3.5669
1500.0      73.345    3.66725
1560.0      79.081    3.95405
1620.0      81.184    4.0592
1680.0    	79.95     3.9975
