&time(secs)  dist(mm) error
60.0         0         0
120.0        5.283     0.26415
180.0   	 8.972     0.4486
240.0       12.548     0.6274
300.0  	    15.239     0.76195
360.0   	18.522     0.9261
420.0       21.496     1.0748
480.0  	    25.083     1.25415
540.0       27.166     1.3583
600.0   	29.861     1.49305
660.0   	33.415     1.67075
720.0  	    37.916     1.8958
780.0  		43.588     2.1794
840.0  		47.741     2.38705
900.0   	51.039     2.55195
960.0  		54.018     2.7009
1020.0  	56.419     2.82095
1080.0  	61.752     3.0876
1140.0  	66.84      3.342
1200.0  	70.973     3.54865
1260.0  	76.99      3.8495
1320.0  	81.456     4.0728
1380.0  	85.957     4.29785
1440.0  	90.731     4.53655
1500.0  	95.79      4.7895
