&time(secs)  dist(mm)     error
0.0       0                0
1.0  	  11.003           0.55015
2.0  	  21.54            1.077
3.0  	  29.004           1.4502
4.0  	  36.834           1.8417
5.0  	  45.908           2.2954
6.0  	  54.8             2.74
7.0       65.586           3.2793
