&time(secs)  dist(mm) error
0.0      0          0
2.0         4.675      0.23375
4.0         9.923      0.49615
6.0         12.051     0.60255
8.0         15.461     0.77305
10.0        18.878     0.9439
12.0        22.259     1.11295
14.0        25.031     1.25155
16.0        29.99      1.4995
18.0        33.175     1.65875
20.0        34.332     1.7166
22.0        37.703     1.88515
24.0        41.756     2.0878
26.0        42.356     2.1178
28.0        45.43      2.2715
30.0        47.603     2.38015
32.0        50.075     2.50375
34.0        55.324     2.7662
36.0        58.719     2.93595
38.0        58.419     2.92095
40.0        59.955     2.99775
42.0        62.454     3.1227
44.0        66.521     3.32605
46.0        67.707     3.38535
48.0        69.544     3.4772
50.0        72.639     3.63195
52.0        74.821     3.74105
54.0        76.957     3.84785
56.0        78.809     3.94045
58.0        83.454     4.1727
60.0        88.106     4.4053
62.0        87.781     4.38905
64.0        92.103     4.60515
66.0        95.545     4.77725
68.0        95.507     4.77535
70.0        98.9       4.945
