&time(secs)  dist(mm) error
 0.0        0         0
10.0        20.613    1.03065
20.0        36.441    1.82205
30.0        53.192    2.6596
40.0        65.802    3.2901
50.0        80.823    4.04115
60.0        90.393    4.51965
70.0        98.384    4.9192
80.0        105.124   5.2562
