&time(secs)  dist(mm)       error
0.0          	0          0
1.0         	12.374     0.6187
2.0         	22.237     1.11185
3.0         	28.099     1.40495
4.0         	36.145     1.80725
5.0             46.948     2.3474
6.0         	53.776     2.6888
7.0         	60.563     3.02815
8.0         	67.675     3.38375
9.0             74.788     3.7394
10.0            84.062     4.2031
11.0            90.207     4.51035

