&time(secs)  dist(mm) error
0.0       0            0
2.0      4.762         0.2381
4.0      8.763         0.43815
6.0      10.268        0.5134
8.0      12.428        0.6214
10.0     15.846        0.7923
12.0     18.645        0.93225
14.0     20.819        1.04095
16.0     23.023        1.15115
18.0     25.174        1.2587
20.0     25.795        1.28975
22.0     26.43         1.3215
24.0     30.143        1.50715
26.0     31.433        1.57165
28.0     32.01         1.6005
30.0     34.804        1.7402
32.0     35.429        1.77145
34.0     36.047        1.80235
36.0     38.554        1.9277
38.0     38.587        1.92935
40.0     40.45         2.0225
42.0     41.022        2.0511
44.0     43.201        2.16005
46.0     45.377        2.26885
48.0     46.052        2.3026
50.0     47.859        2.39295
52.0     49.421        2.47105
54.0     50.975        2.54875
56.0     53.172        2.6586
58.0     53.771        2.68855
60.0     55.338        2.7669
62.0     55.978        2.7989
64.0     56.869        2.84345
66.0     57.806        2.8903
68.0     59.357        2.96785
70.0     60.948        3.0474
72.0     62.811        3.14055
74.0     65.264        3.2632
76.0     65.571        3.27855
78.0     67.748        3.3874
80.0     66.827        3.34135
82.0     67.491        3.37455
84.0     71.785        3.58925
86.0     71.177        3.55885
88.0     73.994        3.6997
90.0     73.961        3.69805
92.0     76.155        3.80775
94.0     77.087        3.85435
96.0     79.915        3.99575
98.0     80.176        4.0088
100.0    81.126        4.0563
102.0    82.978        4.1489
104.0    84.868        4.2434
106.0    84.973        4.24865
108.0    86.085        4.30425
110.0    88.257        4.41285
112.0    88.878        4.4439
114.0    91.691        4.58455
116.0    93.272        4.6636
118.0    95.404        4.7702
120.0    96.523        4.82615
122.0    97.941        4.89705
124.0    97.917        4.89585
126.0    101.982       5.0991
128.0    102.386       5.1193
130.0    103.132       5.1566
132.0    104.333       5.21665
134.0    107.057       5.35285
136.0    107.9         5.395
138.0    111.257       5.56285
140.0    111.745       5.58725
142.0    113.19        5.6595
144.0    114.978       5.7489
146.0    118.349       5.91745
148.0    119.814       5.9907
