&time(secs)   dist(mm)
0.0     	5.861
5.0     	18.950
10.0        27.318
15.0   	    35.374
20.0        44.224
25.0        49.131
30.0     	54.059
35.0    	62.220
40.0        67.474
45.0    	73.441
50.0    	78.351
55.0   	    84.364
60.0   	    88.549
65.0    	96.805
70.0   	   101.846
75.0       110.060
