&time(secs)  dist(mm) d_abs
0.0              7.919    0
20.0         	12.557    4.638
40.0            16.335    8.416
60.0         	21.411   13.492
80.0        	24.895   16.976
100.0       	29.997   22.078
120.0       	32.796   24.877
140.0    	    37.899   29.98
160.0           42.554   34.635
180.0    	    48.613   40.694
200.0    	    52.318   44.399
220.0    	    56.499   48.58
240.0    	    59.761   51.842
260.0    	    63.708   55.789
280.0        	70.450   62.531
300.0    	    72.777   64.858
320.0        	76.495   68.576
340.0   	    80.917   72.998
360.0   	    85.332   77.413
380.0   	    89.747   81.828
400.0   	    93.291   85.372
420.0   	    97.656   89.737
440.0   	   101.889   93.97
460.0   	   105.881   97.962
480.0   	   109.134   101.215
500.0   	   112.566   104.647
520.0          118.743   110.824
540.0   	   123.829   115.91
560.0   	   128.790   120.871
580.0   	   135.191   127.272
