&time(secs)  dist(mm)     d_abs         error
0.0         13.311          0         0
10.0    	30.396         17.085     0.3417
20.0    	49.306         35.995     0.7199
30.0    	64.298         50.987     1.01974
40.0    	78.420         65.109     1.30218
50.0    	90.488         77.177     1.54354
60.0    	103.358        90.047     1.80094
