853	1065
853	1065
853	1065
853	1065
853	1065
853	1065
853	1065
853	1065
853	1065
853	1065
853	1065
853	1065
854	1065
853	1065
853	1065
853	1065
853	1065
853	1065
853	1065
853	1065
853	1065
853	1065
853	1065
853	1065
853	1065
854	1065
853	1065
853	1065
853	1065
854	1065
853	1065
853	1065
854	1065
853	1065
854	1065
854	1065
854	1065
854	1065
854	1065
853	1065
853	1065
854	1065
854	1065
854	1065
854	1065
854	1065
854	1065
854	1065
854	1065
854	1065
854	1065
854	1065
854	1065
854	1065
854	1065
854	1065
854	1065
854	1065
854	1065
854	1065
854	1065
854	1065
854	1065
854	1066
853	1066
853	1066
852	1066
851	1066
849	1066
847	1066
846	1066
844	1066
843	1066
841	1066
839	1066
838	1067
836	1067
835	1067
834	1067
832	1067
831	1067
830	1067
829	1067
828	1067
826	1067
825	1067
824	1067
823	1067
822	1068
820	1068
819	1068
818	1068
817	1068
816	1068
815	1068
814	1068
812	1068
811	1068
810	1068
809	1068
808	1068
807	1068
806	1068
805	1068
803	1068
802	1068
801	1068
800	1068
799	1068
798	1068
797	1068
796	1068
795	1068
794	1068
793	1068
792	1069
791	1069
790	1069
789	1069
788	1069
786	1069
785	1069
784	1069
783	1069
782	1069
781	1069
780	1069
779	1069
778	1069
777	1069
776	1069
775	1069
773	1069
772	1069
771	1069
770	1069
769	1069
768	1069
767	1069
766	1069
765	1069
764	1069
763	1069
761	1069
760	1069
759	1069
758	1069
757	1069
756	1069
755	1069
754	1069
753	1069
752	1069
750	1069
749	1069
748	1069
747	1069
746	1069
745	1069
744	1069
743	1070
742	1069
740	1069
739	1070
738	1070
737	1070
736	1070
735	1070
734	1070
733	1070
732	1070
730	1070
729	1070
728	1070
727	1070
726	1070
725	1070
724	1070
723	1070
722	1070
719	1070
717	1070
716	1070
715	1070
714	1070
712	1070
711	1070
710	1071
710	1071
709	1071
709	1071
708	1071
705	1071
704	1071
702	1071
700	1071
699	1071
698	1071
697	1071
696	1071
694	1071
693	1071
692	1071
691	1071
690	1071
689	1071
688	1071
687	1071
686	1071
685	1071
683	1071
682	1071
681	1071
680	1071
679	1071
678	1071
677	1071
676	1071
675	1071
674	1071
673	1071
671	1071
670	1071
669	1071
668	1071
666	1071
665	1071
664	1071
663	1071
662	1071
661	1071
660	1071
660	1071
659	1071
658	1071
657	1071
656	1071
655	1071
654	1071
654	1071
653	1071
650	1071
649	1071
648	1071
646	1071
645	1071
644	1071
643	1071
642	1071
641	1071
639	1071
638	1071
637	1071
636	1071
635	1071
634	1071
633	1071
631	1071
630	1071
629	1071
628	1071
627	1071
626	1071
624	1071
623	1071
622	1071
621	1071
620	1071
619	1071
618	1071
618	1071
615	1071
613	1071
612	1071
611	1071
610	1071
609	1071
608	1071
606	1071
605	1071
604	1071
603	1071
602	1071
600	1071
599	1071
598	1071
597	1071
596	1071
594	1071
593	1071
592	1071
591	1071
590	1071
589	1071
588	1071
587	1071
585	1071
584	1071
583	1071
582	1071
581	1071
580	1071
578	1071
577	1071
576	1071
575	1071
574	1071
573	1071
572	1071
571	1071
570	1071
569	1071
568	1071
566	1071
565	1071
564	1071
563	1071
562	1071
561	1071
560	1071
559	1071
558	1071
557	1071
556	1071
555	1071
554	1071
553	1071
552	1071
550	1071
549	1071
548	1071
547	1071
546	1071
545	1071
544	1071
543	1071
542	1071
541	1071
540	1071
539	1071
537	1071
536	1071
535	1071
534	1071
533	1071
532	1071
531	1071
530	1071
529	1071
528	1071
527	1071
526	1071
525	1071
524	1071
523	1071
521	1071
520	1071
519	1071
518	1071
516	1071
515	1071
514	1071
512	1070
511	1070
510	1070
509	1070
508	1071
507	1070
506	1070
505	1070
504	1070
503	1070
502	1070
502	1070
501	1070
500	1070
500	1070
499	1070
499	1070
498	1070
497	1070
497	1070
497	1070
496	1070
496	1070
495	1070
495	1070
494	1070
494	1070
493	1070
493	1070
493	1070
492	1070
492	1070
492	1070
492	1070
491	1070
491	1070
491	1070
490	1070
490	1070
490	1070
490	1070
489	1070
489	1070
489	1070
489	1070
488	1070
488	1070
488	1070
488	1070
488	1070
487	1070
487	1070
487	1070
487	1070
487	1070
486	1070
486	1070
486	1070
486	1070
486	1070
486	1070
485	1070
485	1070
485	1070
485	1070
485	1070
485	1070
485	1070
484	1070
484	1070
484	1070
484	1070
484	1070
484	1070
484	1070
484	1070
483	1070
483	1070
483	1070
483	1070
483	1070
483	1070
483	1070
483	1070
483	1070
483	1070
482	1070
482	1070
482	1070
482	1070
482	1070
482	1070
482	1070
482	1070
482	1070
482	1070
482	1070
482	1070
482	1070
482	1070
482	1070
481	1070
481	1070
481	1070
481	1070
481	1070
481	1070
481	1070
481	1070
481	1070
481	1070
481	1070
481	1070
481	1070
481	1070
481	1070
481	1070
481	1070
481	1070
481	1070
481	1070
481	1070
480	1070
480	1070
480	1070
480	1070
480	1070
480	1070
480	1070
480	1070
480	1070
480	1070
480	1070
480	1070
480	1070
480	1070
480	1070
480	1070
