&time(secs)  dist(mm)     d_abs  error
0.0    	     3.695        0
60.0         7.958        4.263
120.0       14.256        10.561
180.0       18.190        14.495
240.0       23.597        19.902
300.0       29.286        25.591
360.0       31.843        28.148
420.0       37.521        33.826
480.0       41.511        37.816
540.0       46.074        42.379
600.0       49.777        46.082
660.0       54.075        50.38
720.0       57.212        53.517
780.0       62.976        59.281
840.0       67.744        64.049
900.0       72.502        68.807
960.0       75.609        71.914
1020.0      81.013        77.318
1080.0      87.829        84.134
