&time(secs)  dist(mm)     d_abs       error
0.0    	    1.122        0
60.0        7.861        6.739
120.0      17.115        15.993
180.0      24.424        23.302
240.0      29.525        28.403
300.0      35.721        34.599
360.0      42.941        41.819
420.0      47.446        46.324
480.0      52.541        51.419
540.0      58.649        57.527
600.0      62.410        61.288
660.0      67.645        66.523
720.0      74.096        72.974
780.0      83.060        81.938
840.0      91.749        90.627
