&time(secs)  dist(mm)     d_abs       error
0.0   	 3.068            0
60.0  	 6.605            3.537
120.0 	10.117            7.049
180.0 	13.177            10.109
240.0 	16.551            13.483
300.0 	19.967            16.899
360.0 	22.702            19.634
420.0 	25.465            22.397
480.0   28.659            25.591
540.0 	30.812            27.744
600.0 	33.744            30.676
660.0 	35.575            32.507
720.0   38.766            35.698
780.0 	41.065            37.997
840.0 	44.320            41.252
900.0 	47.350            44.282
960.0 	48.890            45.822
1020.0	51.975            48.907
1080.0 	53.789            50.721
1140.0 	56.859            53.791
1200.0 	59.322            56.254
1260.0 	62.669            59.601
1320.0	65.586            62.518
1380.0	67.576            64.508
1440.0	71.273            68.205
1500.0	74.201            71.133
1560.0	77.700            74.632
1620.0  81.409            78.341
1680.0  86.611            83.543
