&time(secs)  dist(mm)     d_abs       error
0.0         	4.303        0
60.0  	        8.949      4.646
120.0 	       13.442      9.139
180.0 	       17.344      13.041
240.0 	       20.698      16.395
300.0 	       24.979      20.676
360.0          28.522      24.219
420.0 	       31.894      27.591
480.0 	       35.270      30.967
540.0 	       38.589      34.286
600.0 	       41.594      37.291
660.0 	       44.365      40.062
720.0 	       47.364      43.061
780.0 	       50.520      46.217
840.0 	       54.619      50.316
900.0 	       58.007      53.704
960.0 	       61.144      56.841
1020.0	       64.691      60.388
1080.0	       68.119      63.816
1140.0	       71.794      67.491
1200.0         77.221      72.918
1260.0         82.838      78.535
