&time(secs)  dist(mm) d_abs    error
0.0       	15.452    0        0
10.0      	23.623     8.171   0.16342
20.0	    29.986    14.534   0.29068
30.0        40.143    24.691   0.49382
40.0	    45.127    29.675   0.5935
50.0	    51.524    36.072   0.72144
60.0	    57.875    42.423   0.84846
70.0	    63.774    48.322   0.96644
80.0        71.785    56.333   1.12666
90.0       	75.564    60.112   1.20224
100.0     	82.226    66.774   1.33548
110       	88.756    73.304   1.46608
120.0     	92.538    77.086   1.54172
130.0      101.158    85.706   1.71412
