&time(secs)  dist(mm) d_abs    error
0.0          21.230   0        0.0
10.0         31.067    9.837   0.1967
20.0	     38.423   17.193   0.3439
30.0         46.671   25.441   0.5088
40.0	     55.099   33.869   0.6774
50.0	     59.313   38.083   0.7617
60.0	     65.579   44.349   0.8870
70.0	     70.260   49.03    0.9806
80.0         78.261   57.031   1.1406
90.0         83.170   61.94    1.2388
100.0        92.623   71.393   1.4279
110          98.594   77.364   1.5473
