&time(secs)  dist(mm) d_abs
0.0    2.796       0
10.0   	18.530     15.734
20.0	34.271     31.475
30.0    52.642     49.846
40.0	68.695     65.899
50.0	86.614     83.818
60.0	104.862    102.066
