&time(secs)  dist(mm) d_abs
0.0         29.583   0
5.0     	35.174    5.591
10.0        45.424   15.841
15.0        54.508   24.925
20.0        66.386   36.803
25.0        78.036   48.453
30.0        84.788   55.205
35.0    	92.948   63.365
40.0       100.194   70.611
45.0       109.718   80.135
50.0       117.897   88.314
55.0       131.421   101.838
