&time(secs)  dist(mm) d_abs
0.0       	6.747    0
20.0       14.882   8.135
40.0       23.255   16.508
60.0       30.691   23.944
80.0       39.559   32.812
100.0      47.445   40.698
120.0      56.092   49.345
140.0      63.733   56.986
160.0      72.804   66.057
180.0      81.410   74.663
200.0      90.503   83.756
220.0      99.565   92.818
240.0     108.651   101.904
260.0     116.537   109.79
