&time(secs)  dist(mm) d_abs
0.0          11.433   0
1.0          18.206   6.773
2.0          27.103   15.67
3.0     	 43.876   32.443
4.0     	 61.149   49.716
5.0     	 70.713   59.28
6.0     	 84.702   73.269
7.0     	 97.303   85.87
8.0         114.102   102.669
9.0    	    126.520   115.087
