&time(secs)  dist(mm) d_abs
0.0    	14.364       0
10.0    27.962       13.598
20.0	37.513       23.149
30.0   	46.936       32.572
40.0	56.994       42.63
50.0	65.315       50.951
60.0	73.855       59.491
70.0	82.063       67.699
80.0   	90.545       76.181
90.0   	97.326       82.962
100.0   109.354      94.99
110.0  	125.635      111.271
