&time(secs)  dist(mm) d_abs
0.0       	21.772   0
300.0     	28.717   6.945
600.0       34.425   12.653
900.0     	39.984   18.212
1200.0    	45.077   23.305
1500.0    	50.947   29.175
1800.0    	55.746   33.974
2100.0    	62.528   40.756
2400.0    	69.215   47.443
2700.0    	73.818   52.046
3000.0    	80.906   59.134
3300.0    	87.073   65.301
3600.0    	92.409   70.637
3900.0    	99.731   77.959
4200.0    	104.202  82.43
